#Items	3300
#Nodes	11848
#Nodes2	11848
#Entities	8583
#Entities2	8583
#Relations	20
#Triples	358830
Sparsity rate	99.97564542673403
#Loops	14
#Triples<http://dbpedia.org/ontology/award>	45
#Head<http://dbpedia.org/ontology/award>	33
#Head-Entities<http://dbpedia.org/ontology/award>	33
#Tail<http://dbpedia.org/ontology/award>	40
#Tail-Entities<http://dbpedia.org/ontology/award>	0
#Triples<http://dbpedia.org/ontology/basedOn>	54
#Head<http://dbpedia.org/ontology/basedOn>	43
#Head-Entities<http://dbpedia.org/ontology/basedOn>	1
#Tail<http://dbpedia.org/ontology/basedOn>	43
#Tail-Entities<http://dbpedia.org/ontology/basedOn>	38
#Triples<http://dbpedia.org/ontology/cinematography>	1515
#Head<http://dbpedia.org/ontology/cinematography>	1488
#Head-Entities<http://dbpedia.org/ontology/cinematography>	0
#Tail<http://dbpedia.org/ontology/cinematography>	234
#Tail-Entities<http://dbpedia.org/ontology/cinematography>	234
#Triples<http://dbpedia.org/ontology/country>	348
#Head<http://dbpedia.org/ontology/country>	315
#Head-Entities<http://dbpedia.org/ontology/country>	0
#Tail<http://dbpedia.org/ontology/country>	32
#Tail-Entities<http://dbpedia.org/ontology/country>	32
#Triples<http://dbpedia.org/ontology/director>	1919
#Head<http://dbpedia.org/ontology/director>	1856
#Head-Entities<http://dbpedia.org/ontology/director>	0
#Tail<http://dbpedia.org/ontology/director>	567
#Tail-Entities<http://dbpedia.org/ontology/director>	567
#Triples<http://dbpedia.org/ontology/editing>	1210
#Head<http://dbpedia.org/ontology/editing>	1107
#Head-Entities<http://dbpedia.org/ontology/editing>	0
#Tail<http://dbpedia.org/ontology/editing>	217
#Tail-Entities<http://dbpedia.org/ontology/editing>	217
#Triples<http://dbpedia.org/ontology/openingFilm>	23
#Head<http://dbpedia.org/ontology/openingFilm>	15
#Head-Entities<http://dbpedia.org/ontology/openingFilm>	15
#Tail<http://dbpedia.org/ontology/openingFilm>	23
#Tail-Entities<http://dbpedia.org/ontology/openingFilm>	0
#Triples<http://dbpedia.org/ontology/series>	5
#Head<http://dbpedia.org/ontology/series>	5
#Head-Entities<http://dbpedia.org/ontology/series>	4
#Tail<http://dbpedia.org/ontology/series>	5
#Tail-Entities<http://dbpedia.org/ontology/series>	1
#Triples<http://dbpedia.org/ontology/starring>	9788
#Head<http://dbpedia.org/ontology/starring>	2583
#Head-Entities<http://dbpedia.org/ontology/starring>	1
#Tail<http://dbpedia.org/ontology/starring>	2279
#Tail-Entities<http://dbpedia.org/ontology/starring>	2275
#Triples<http://dbpedia.org/ontology/wikiPageWikiLink>	250229
#Head<http://dbpedia.org/ontology/wikiPageWikiLink>	9351
#Head-Entities<http://dbpedia.org/ontology/wikiPageWikiLink>	6172
#Tail<http://dbpedia.org/ontology/wikiPageWikiLink>	10346
#Tail-Entities<http://dbpedia.org/ontology/wikiPageWikiLink>	7186
#Triples<http://dbpedia.org/property/allWriting>	1763
#Head<http://dbpedia.org/property/allWriting>	1460
#Head-Entities<http://dbpedia.org/property/allWriting>	0
#Tail<http://dbpedia.org/property/allWriting>	631
#Tail-Entities<http://dbpedia.org/property/allWriting>	631
#Triples<http://dbpedia.org/property/composer>	2037
#Head<http://dbpedia.org/property/composer>	1903
#Head-Entities<http://dbpedia.org/property/composer>	0
#Tail<http://dbpedia.org/property/composer>	290
#Tail-Entities<http://dbpedia.org/property/composer>	289
#Triples<http://dbpedia.org/property/notableWork>	135
#Head<http://dbpedia.org/property/notableWork>	72
#Head-Entities<http://dbpedia.org/property/notableWork>	72
#Tail<http://dbpedia.org/property/notableWork>	123
#Tail-Entities<http://dbpedia.org/property/notableWork>	0
