#Items	3300
#Nodes	8045
#Nodes2	8045
#Entities	4780
#Entities2	4780
#Relations	20
#Triples	310122
Sparsity rate	99.9321348540817
#Loops	14
#Triples<http://dbpedia.org/ontology/award>	43
#Head<http://dbpedia.org/ontology/award>	9
#Head-Entities<http://dbpedia.org/ontology/award>	9
#Tail<http://dbpedia.org/ontology/award>	40
#Tail-Entities<http://dbpedia.org/ontology/award>	0
#Triples<http://dbpedia.org/ontology/basedOn>	52
#Head<http://dbpedia.org/ontology/basedOn>	43
#Head-Entities<http://dbpedia.org/ontology/basedOn>	1
#Tail<http://dbpedia.org/ontology/basedOn>	15
#Tail-Entities<http://dbpedia.org/ontology/basedOn>	10
#Triples<http://dbpedia.org/ontology/cinematography>	1510
#Head<http://dbpedia.org/ontology/cinematography>	1488
#Head-Entities<http://dbpedia.org/ontology/cinematography>	0
#Tail<http://dbpedia.org/ontology/cinematography>	60
#Tail-Entities<http://dbpedia.org/ontology/cinematography>	60
#Triples<http://dbpedia.org/ontology/country>	343
#Head<http://dbpedia.org/ontology/country>	315
#Head-Entities<http://dbpedia.org/ontology/country>	0
#Tail<http://dbpedia.org/ontology/country>	9
#Tail-Entities<http://dbpedia.org/ontology/country>	9
#Triples<http://dbpedia.org/ontology/director>	1913
#Head<http://dbpedia.org/ontology/director>	1858
#Head-Entities<http://dbpedia.org/ontology/director>	2
#Tail<http://dbpedia.org/ontology/director>	155
#Tail-Entities<http://dbpedia.org/ontology/director>	153
#Triples<http://dbpedia.org/ontology/editing>	1193
#Head<http://dbpedia.org/ontology/editing>	1107
#Head-Entities<http://dbpedia.org/ontology/editing>	0
#Tail<http://dbpedia.org/ontology/editing>	56
#Tail-Entities<http://dbpedia.org/ontology/editing>	56
#Triples<http://dbpedia.org/ontology/openingFilm>	23
#Head<http://dbpedia.org/ontology/openingFilm>	4
#Head-Entities<http://dbpedia.org/ontology/openingFilm>	4
#Tail<http://dbpedia.org/ontology/openingFilm>	23
#Tail-Entities<http://dbpedia.org/ontology/openingFilm>	0
#Triples<http://dbpedia.org/ontology/series>	2
#Head<http://dbpedia.org/ontology/series>	1
#Head-Entities<http://dbpedia.org/ontology/series>	1
#Tail<http://dbpedia.org/ontology/series>	2
#Tail-Entities<http://dbpedia.org/ontology/series>	0
#Triples<http://dbpedia.org/ontology/starring>	9205
#Head<http://dbpedia.org/ontology/starring>	2582
#Head-Entities<http://dbpedia.org/ontology/starring>	2
#Tail<http://dbpedia.org/ontology/starring>	620
#Tail-Entities<http://dbpedia.org/ontology/starring>	609
#Triples<http://dbpedia.org/ontology/wikiPageWikiLink>	219827
#Head<http://dbpedia.org/ontology/wikiPageWikiLink>	5020
#Head-Entities<http://dbpedia.org/ontology/wikiPageWikiLink>	1841
#Tail<http://dbpedia.org/ontology/wikiPageWikiLink>	5605
